Date,Hour,ConcurrentUsers,TotalCommands,Cmd_Recommend,Cmd_Rate,Cmd_Popular,TopGenreRequested
2026-04-01,18:00,210,450,200,150,100,Sci-Fi
2026-04-01,20:00,285,610,290,200,120,Action
2026-04-02,18:00,225,480,210,160,110,Comedy
2026-04-02,20:00,310,650,310,220,120,Thriller
2026-04-03,18:00,195,410,180,140,90,Drama
2026-04-03,20:00,270,590,270,190,130,Sci-Fi
2026-04-04,18:00,240,520,230,170,120,Action
2026-04-04,20:00,305,680,320,230,130,Action
2026-04-05,18:00,215,460,205,155,100,Comedy
2026-04-05,20:00,290,620,295,205,120,Drama
2026-04-06,18:00,230,490,220,165,105,Sci-Fi
2026-04-06,20:00,315,690,330,240,120,Action